Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Almonds,1,0,0,0,579.0,50.0,21.0,3.71,269.0,1.0,733.0,22.0,13.0,0.0,4.4
Aloo Sabzi,0,1,1,0,108.0,3.2,2.1,0.8,12.0,248.0,421.0,18.0,2.4,0.0,1.2
American Cheese,1,0,0,0,331.0,24.0,20.0,0.84,497.0,966.0,363.0,8.3,0.0,0.0,0.0
Apples,1,0,0,0,52.0,0.2,0.3,0.12,6.0,1.0,107.0,14.0,24.0,0.0,10.0
"Apples, Fuji, With Skin, Raw",0,1,1,0,65.0,0.2,0.2,0.0,6.0,1.0,104.0,15.7,2.1,0.0,0.0
"Apples, Gala, With Skin, Raw",0,1,1,0,61.0,0.2,0.1,0.1,7.0,0.0,106.0,14.8,2.1,0.0,0.0
"Apples, Granny Smith, With Skin, Raw",0,1,1,0,59.0,0.1,0.3,0.1,5.0,0.0,116.0,14.2,2.5,0.0,0.0
"Apples, Honeycrisp, With Skin, Raw",0,1,1,0,60.0,0.1,0.1,0.0,4.0,0.0,98.0,14.7,1.7,0.0,0.0
"Apples, Red Delicious, With Skin, Raw",0,1,1,0,62.0,0.2,0.2,0.0,5.0,0.0,95.0,14.8,2.0,0.0,0.0
Asparagus Cooked,0,1,1,0,22.0,0.2,2.4,0.91,23.0,14.0,224.0,4.1,2.0,0.0,1.3
Avocados,1,0,0,0,160.0,15.0,2.0,0.55,12.0,7.0,485.0,8.5,6.7,0.0,0.7
Bacon Cooked,0,0,1,1,146.0,2.8,28.0,0.56,7.0,993.0,999.0,1.8,0.0,0.0,1.2
Bagels Made In Wheat,0,1,1,0,250.0,1.5,10.0,2.76,20.0,439.0,165.0,49.0,4.1,0.0,6.1
Banana Chips,1,0,0,0,519.0,34.0,2.3,1.25,18.0,6.0,536.0,58.0,7.7,0.0,35.0
Bananas,1,0,0,0,89.0,0.3,1.1,0.26,5.0,1.0,358.0,23.0,2.6,0.0,12.0
"Bananas, Overripe, Raw",0,1,1,0,85.0,0.2,0.7,0.0,0.0,0.0,0.0,20.1,1.7,0.0,0.0
"Bananas, Ripe And Slightly Ripe, Raw",0,1,1,0,97.0,0.3,0.7,0.0,5.0,0.0,326.0,23.0,1.7,0.0,0.0
Basmati Rice Cooked,0,1,1,0,121.0,0.4,2.9,0.2,10.0,1.0,35.0,25.0,0.4,0.0,0.1
Beans,0,1,1,0,31.0,0.2,1.8,1.03,37.0,6.0,211.0,7.0,2.7,0.0,3.3
"Beans, Snap, Green, Canned, Regular Pack, Drained Solids",0,1,1,0,21.0,0.4,1.0,0.8,36.0,282.0,97.0,4.1,0.0,0.0,0.0
Beef Sticks,1,0,0,1,550.0,50.0,22.0,3.4,68.0,1531.0,257.0,5.4,0.0,0.0,0.0
Berries,1,0,0,0,349.0,0.4,14.0,6.8,190.0,298.0,77.0,77.0,13.0,0.0,46.0
Bhaji Pav,1,0,0,0,151.0,2.4,9.0,37.4,3.4,438.0,180.0,29.3,1.0,0.0,1.35
Boiled Potatoes,1,1,1,0,87.0,0.1,1.9,0.31,5.0,240.0,379.0,20.0,2.0,0.0,0.9
"Broccoli, Raw",0,1,1,0,32.0,0.3,2.6,0.7,46.0,36.0,303.0,6.3,2.4,0.0,0.0
Brocolli,0,1,1,0,25.0,0.5,3.8,1.27,118.0,56.0,343.0,3.1,2.8,0.0,0.6
Brown Rice,0,1,1,0,362.0,2.7,7.5,1.8,33.0,4.0,268.0,76.0,3.4,0.0,0.0
Brownie,1,0,0,0,407.0,6.2,4.4,3.81,17.0,457.0,51.0,84.0,2.9,0.0,55.0
"Carrots, Frozen, Unprepared",0,1,1,0,37.0,0.5,0.8,0.4,33.0,66.0,210.0,7.9,3.2,0.0,0.0
"Carrots, Frozen, Unprepared (Includes Foods For Usda'S Food Distribution Program)",0,1,1,0,37.0,0.5,0.8,0.4,33.0,66.0,210.0,7.9,3.2,0.0,0.0
Cashew Nuts,1,0,0,0,553.0,44.0,18.0,6.68,37.0,12.0,660.0,30.0,3.3,0.0,5.9
Cauliflower,0,1,1,0,32.0,0.3,3.0,0.72,32.0,259.0,278.0,6.3,3.3,0.0,0.0
Cereals-Corn Flakes,1,0,0,0,384.0,0.9,5.9,19.4,2.0,571.0,107.0,88.0,2.7,100.0,7.8
Chappati,0,1,1,0,297.0,7.5,11.0,3.01,93.0,409.0,266.0,46.0,4.9,0.0,2.7
Cheese Burger,0,1,1,0,256.0,12.0,13.0,2.78,92.0,660.0,178.0,25.0,1.4,0.0,0.0
