Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Dal Cooked,0,1,1,0,116,0.5,9,3.3,27,6,369,20,8,0,1.2
Roti Wheat,0,1,1,0,297,7.5,11,3.9,48,468,192,48,6.8,0,2.1
Basmati Rice Cooked,0,1,1,0,121,0.4,2.9,0.2,10,1,35,25,0.4,0,0.1
Paneer,1,1,1,0,265,20.8,18.3,0.2,480,18,138,1.2,0,0.3,2.6
Idli,1,0,0,0,156,0.5,4.8,1.2,22,8,112,32,2.1,0,1.8
Dosa,1,1,0,0,168,3.7,3.9,1.8,18,12,98,28,1.9,0,1.2
Rajma Cooked,0,1,1,0,127,0.5,8.7,2.9,28,2,405,23,6.4,0,0.3
Chole Cooked,0,1,1,0,164,2.6,8.9,2.9,49,7,291,27,7.6,0,4.7
Poha,1,0,0,0,158,2.8,3.2,1.2,8,4,68,32,1.8,0,0.8
Upma,1,0,0,0,185,4.2,4.8,1.8,18,312,88,32,2.2,0,1.4
Khichdi,0,1,1,0,120,2.1,4.2,1.4,22,168,142,21,2.8,0,0.6
Sambar,0,1,1,0,92,2.8,4.1,1.8,38,412,268,14,3.2,0,3.8
Aloo Sabzi,0,1,1,0,108,3.2,2.1,0.8,12,248,421,18,2.4,0,1.2
Palak Paneer,0,1,1,0,168,12.4,9.8,2.7,198,312,448,8.2,2.8,0,2.1
Chicken Curry,0,1,1,1,195,11.2,18.4,1.4,28,468,312,6.8,1.2,0.2,2.8
